"","item_id","Name","Score","Genders","english_name","Type","Episodes","Aired","Premiered","Producers","Licensors","Studios","Source","Duration","Duration_C","Rating","Ranked","Popularity","Members","Favorites","Watching","Completed","On-Hold","Dropped","Plan to Watch"
"15","ID1735","Naruto: Shippuuden","8.16","Action, Adventure, Comedy, Super Power, Martial Arts, Shounen","Naruto:Shippuden","TV","500","Feb 15, 2007 to Mar 23, 2017","Winter 2007","TV Tokyo, Aniplex, KSS, Rakuonsha, TV Tokyo Music, Shueisha","VIZ Media","Studio Pierrot","Manga",23,"Less than 30min","PG-13 - Teens 13 or older","345.0",18,1543765,84651,362124,865643,109707,124253,82038
"16","ID20507","Noragami","8.01","Action, Adventure, Comedy, Supernatural, Shounen","Noragami:Stray God","TV","12","Jan 5, 2014 to Mar 23, 2014","Winter 2014","Avex Entertainment, Dentsu, Shochiku, Kodansha, Movic, Ai Addiction, Lawson HMV Entertainment, A-Sketch","Funimation","Bones","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","528.0",18,1535575,29237,64183,1181215,31089,24056,235032
"17","ID10620","Mirai Nikki","7.54","Action, Mystery, Psychological, Shounen, Supernatural, Thriller","The Future Diary","TV","26","Oct 9, 2011 to Apr 15, 2012","Fall 2011","Lantis, Kadokawa Shoten, Rakuonsha, Kadokawa Pictures Japan, KlockWorx, chara-ani.com, 12 Diary Holders, Dwango, Sakura Create","Funimation","Asread","Manga",23,"Less than 30min","R+ - Mild Nudity","1456.0",19,1533289,29580,66219,1154210,38657,55337,218866
"18","ID31240","Re:Zero kara Hajimeru Isekai Seikatsu","8.29","Psychological, Drama, Thriller, Fantasy","Re:ZERO -Starting Life in Another World-","TV","25","Apr 4, 2016 to Sep 19, 2016","Spring 2016","TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music & Pictures","Funimation","White Fox","Light novel",25,"Less than 30min","R - 17+ (violence & profanity)","228.0",21,1478842,52618,106570,1130438,30627,34941,176266
"19","ID23273","Shigatsu wa Kimi no Uso","8.74","Drama, Music, Romance, School, Shounen","Your Lie in April","TV","22","Oct 10, 2014 to Mar 20, 2015","Fall 2014","Aniplex, Dentsu, Kodansha, Fuji TV, Kyoraku Industrial Holdings","Aniplex of America","A-1 Pictures","Manga",22,"Less than 30min","PG-13 - Teens 13 or older","36.0",22,1442330,69557,78753,1036649,39315,34336,253277
"20","ID21881","Sword Art Online II","6.79","Action, Game, Adventure, Romance, Fantasy","Sword Art Online II","TV","24","Jul 5, 2014 to Dec 20, 2014","Summer 2014","Aniplex, Genco, ASCII Media Works, Bandai Namco Games","Aniplex of America","A-1 Pictures","Light novel",23,"Less than 30min","PG-13 - Teens 13 or older","4467.0",23,1437210,10339,65821,1199824,24610,67243,79712
"21","ID38000","Kimetsu no Yaiba","8.62","Action, Demons, Historical, Shounen, Supernatural","Demon Slayer:Kimetsu no Yaiba","TV","26","Apr 6, 2019 to Sep 28, 2019","Spring 2019","Aniplex, Shueisha","Aniplex of America","ufotable","Manga",23,"Less than 30min","R - 17+ (violence & profanity)","62.0",24,1423778,51725,154413,1079964,24614,19506,145281
"22","ID9919","Ao no Exorcist","7.59","Action, Demons, Fantasy, Shounen, Supernatural","Blue Exorcist","TV","25","Apr 17, 2011 to Oct 2, 2011","Spring 2011","Aniplex, Dentsu, Mainichi Broadcasting System, Movic, Sakura Create, Shueisha","Aniplex of America","A-1 Pictures","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","1292.0",25,1417630,16871,60451,1105894,36030,38705,176550
"23","ID22199","Akame ga Kill!","7.53","Action, Adventure, Drama, Fantasy, Shounen","Akame ga Kill!","TV","24","Jul 7, 2014 to Dec 15, 2014","Summer 2014","Square Enix, TOHO animation","Sentai Filmworks","White Fox","Manga",23,"Less than 30min","R - 17+ (violence & profanity)","1483.0",25,1408729,23395,65450,1088784,26941,45684,181870
"24","ID23755","Nanatsu no Taizai","7.89","Action, Adventure, Ecchi, Fantasy, Magic, Shounen, Supernatural","The Seven Deadly Sins","TV","24","Oct 5, 2014 to Mar 29, 2015","Fall 2014","Aniplex, Dentsu, Mainichi Broadcasting System, Kodansha, Movic","Funimation","A-1 Pictures","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","690.0",27,1394358,22304,61527,1151443,21717,31965,127706
"25","ID28851","Koe no Katachi","9.0","Drama, School, Shounen","A Silent Voice","Movie","1","Sep 17, 2016","Unknown","Shochiku, Pony Canyon, Kodansha, ABC Animation, Quaras","Eleven Arts, NYAV Post","Kyoto Animation","Manga",130,"more than 2h","PG-13 - Teens 13 or older","11.0",28,1387607,62452,30379,1151644,4306,1949,199329
"26","ID31043","Boku dake ga Inai Machi","8.37","Mystery, Psychological, Supernatural, Seinen","ERASED","TV","12","Jan 8, 2016 to Mar 25, 2016","Winter 2016","Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson","Aniplex of America","A-1 Pictures","Manga",23,"Less than 30min","R - 17+ (violence & profanity)","173.0",29,1359119,37017,52888,1071295,15132,11609,208195
"27","ID21","One Piece","8.52","Action, Adventure, Comedy, Super Power, Drama, Fantasy, Shounen","One Piece","TV","Unknown","Oct 20, 1999 to ?","Fall 1999","Fuji TV, TAP, Shueisha","Funimation, 4Kids Entertainment","Toei Animation","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","95.0",31,1352724,126645,887333,33,187919,136245,141194
"28","ID6702","Fairy Tail","7.68","Action, Adventure, Comedy, Magic, Fantasy, Shounen","Fairy Tail","TV","175","Oct 12, 2009 to Mar 30, 2013","Fall 2009","TV Tokyo, Dentsu, Pony Canyon, Kodansha, DAX Production, Sakura Create","Funimation","Satelight, A-1 Pictures","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","1076.0",32,1312470,46658,185463,737096,108697,148408,132806
"29","ID269","Bleach","7.8","Action, Adventure, Comedy, Super Power, Supernatural, Shounen","Bleach","TV","366","Oct 5, 2004 to Mar 27, 2012","Fall 2004","TV Tokyo, Aniplex, Dentsu, TV Tokyo Music, Studio Kelmadick, Shueisha","VIZ Media","Studio Pierrot","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","818.0",33,1286382,54386,207985,638922,130961,174710,133804
"30","ID30831","Kono Subarashii Sekai ni Shukufuku wo!","8.15","Adventure, Comedy, Fantasy, Magic, Parody, Supernatural","KonoSuba:God's Blessing on This Wonderful World!","TV","10","Jan 14, 2016 to Mar 17, 2016","Winter 2016","Half H.P Studio, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House","Discotek Media, Crunchyroll","Studio Deen","Light novel",23,"Less than 30min","PG-13 - Teens 13 or older","363.0",34,1290898,35019,59954,1041324,20488,21008,148124
"31","ID18679","Kill la Kill","8.11","Action, Comedy, Super Power, Ecchi, School","KILL la KILL","TV","24","Oct 4, 2013 to Mar 28, 2014","Fall 2013","Aniplex, Dentsu, Kadokawa Shoten, Mainichi Broadcasting System, Movic, Ultra Super Pictures, Lucent Pictures Entertainment","Aniplex of America","Trigger","Original",24,"Less than 30min","PG-13 - Teens 13 or older","402.0",35,1283021,34658,88881,838228,62391,67845,225676
"32","ID2904","Code Geass: Hangyaku no Lelouch R2","8.91","Action, Military, Sci-Fi, Super Power, Drama, Mecha","Code Geass:Lelouch of the Rebellion R2","TV","25","Apr 6, 2008 to Sep 28, 2008","Spring 2008","Bandai Visual, Mainichi Broadcasting System, Bandai, Bandai Namco Entertainment, Hakuhodo DY Media Partners","Funimation, Bandai Entertainment","Sunrise","Original",24,"Less than 30min","R - 17+ (violence & profanity)","18.0",36,1268320,64482,38149,1060730,17673,12463,139305
"33","ID24833","Ansatsu Kyoushitsu","8.12","Action, Comedy, School, Shounen","Assassination Classroom","TV","22","Jan 10, 2015 to Jun 20, 2015","Winter 2015","Dentsu, Studio Hibari, Fuji TV, DAX Production, BS Fuji, Avex Pictures, Shueisha","Funimation","Lerche","Manga",23,"Less than 30min","PG-13 - Teens 13 or older","388.0",37,1264954,22162,80929,912815,48498,41961,180751
"34","ID1","Cowboy Bebop","8.78","Action, Adventure, Comedy, Drama, Sci-Fi, Space","Cowboy Bebop","TV","26","Apr 3, 1998 to Apr 24, 1999","Spring 1998","Bandai Visual","Funimation, Bandai Entertainment","Sunrise","Original",24,"Less than 30min","R - 17+ (violence & profanity)","28.0",39,1251960,61971,105808,718161,71513,26678,329800
"35","ID22535","Kiseijuu: Sei no Kakuritsu","8.4","Action, Sci-Fi, Horror, Psychological, Drama, Seinen","Parasyte -the maxim-","TV","24","Oct 9, 2014 to Mar 26, 2015","Fall 2014","VAP, Kodansha, Nippon Television Network, Forecast Communications","Sentai Filmworks","Madhouse","Manga",23,"Less than 30min","R - 17+ (violence & profanity)","157.0",39,1243239,26381,67042,942917,30302,21720,181258
"36","ID32182","Mob Psycho 100","8.49","Action, Slice of Life, Comedy, Supernatural","Mob Psycho 100","TV","12","Jul 11, 2016 to Sep 27, 2016","Summer 2016","Warner Bros. Japan, KlockWorx, BS Fuji, Hakuhodo DY Music & Pictures, Shogakukan","Funimation, Crunchyroll","Bones","Web manga",24,"Less than 30min","PG-13 - Teens 13 or older","109.0",40,1255830,27971,68041,942402,26125,19213,200049
"37","ID199","Sen to Chihiro no Kamikakushi","8.83","Adventure, Supernatural, Drama","Spirited Away","Movie","1","Jul 20, 2001","Unknown","Toho","Walt Disney Studios, GKIDS","Studio Ghibli","Original",125,"more than 2h","PG - Children","23.0",41,1245727,25610,14444,1124666,3124,1437,102056
"38","ID27899","Tokyo Ghoul vA","7.07","Action, Mystery, Horror, Psychological, Supernatural, Drama, Seinen","Tokyo Ghoul vA","TV","12","Jan 9, 2015 to Mar 27, 2015","Winter 2015","Marvelous AQL, Shueisha","Funimation","Studio Pierrot","Manga",24,"Less than 30min","R - 17+ (violence & profanity)","3343.0",42,1226168,11097,41115,1072579,14227,29761,68486
"39","ID3588","Soul Eater","7.88","Action, Fantasy, Comedy, Supernatural, Shounen","Soul Eater","TV","51","Apr 7, 2008 to Mar 30, 2009","Spring 2008","TV Tokyo, Aniplex, Dentsu, Media Factory","Funimation","Bones","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","700.0",43,1218423,23856,87632,763245,77117,65962,224467
"40","ID11111","Another","7.55","Mystery, Horror, Supernatural, Thriller, School","Another","TV","12","Jan 10, 2012 to Mar 27, 2012","Winter 2012","Lantis, Kadokawa Shoten, Toho, KlockWorx, Bandai Namco Live Creative, NTT Docomo","Sentai Filmworks","P.A. Works","Light novel",24,"Less than 30min","R - 17+ (violence & profanity)","1411.0",45,1219780,15629,40503,925862,23357,29426,200632
"41","ID13601","Psycho-Pass","8.38","Action, Sci-Fi, Police, Psychological","Psycho-Pass","TV","22","Oct 12, 2012 to Mar 22, 2013","Fall 2012","Dentsu, Fuji TV, Nitroplus, Sony Music Entertainment, TOHO animation, Kyoraku Industrial Holdings","Funimation","Production I.G","Original",23,"Less than 30min","R - 17+ (violence & profanity)","168.0",45,1211503,34920,81722,720340,53768,36300,319373
"42","ID2001","Tengen Toppa Gurren Lagann","8.66","Action, Adventure, Comedy, Mecha, Sci-Fi","Gurren Lagann","TV","27","Apr 1, 2007 to Sep 30, 2007","Spring 2007","TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai","ADV Films, Bandai Entertainment, Aniplex of America","Gainax","Original",24,"Less than 30min","PG-13 - Teens 13 or older","52.0",46,1213765,67916,70769,805570,56386,42030,239010
"43","ID28223","Death Parade","8.2","Game, Mystery, Psychological, Drama, Thriller","Death Parade","TV","12","Jan 10, 2015 to Mar 28, 2015","Winter 2015","VAP, DAX Production, Nippon Television Network","Funimation","Madhouse","Original",23,"Less than 30min","R - 17+ (violence & profanity)","310.0",48,1213828,22364,60991,857277,34803,27071,233686
"44","ID226","Elfen Lied","7.56","Action, Horror, Psychological, Supernatural, Drama, Romance, Seinen","Elfen Lied","TV","13","Jul 25, 2004 to Oct 17, 2004","Summer 2004","VAP, Genco","ADV Films","Arms","Manga",25,"Less than 30min","R+ - Mild Nudity","1382.0",49,1187921,23830,36600,885356,27617,40191,198157
"45","ID20583","Haikyuu!!","8.53","Comedy, Sports, Drama, School, Shounen","Haikyu!!","TV","25","Apr 6, 2014 to Sep 21, 2014","Spring 2014","Mainichi Broadcasting System, TOHO animation, Shueisha","Sentai Filmworks","Production I.G","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","91.0",50,1185274,54887,83029,896822,31311,21054,153058
"46","ID28171","Shokugeki no Souma","8.29","Ecchi, School, Shounen","Food Wars! Shokugeki no Soma","TV","24","Apr 4, 2015 to Sep 26, 2015","Spring 2015","Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros. Japan, KlockWorx, Showgate, Shueisha, I Will","Sentai Filmworks","J.C.Staff","Manga",25,"Less than 30min","PG-13 - Teens 13 or older","230.0",51,1167795,21821,69269,889263,26886,27717,154660
"47","ID121","Fullmetal Alchemist","8.17","Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen","Fullmetal Alchemist","TV","51","Oct 4, 2003 to Oct 2, 2004","Fall 2003","Aniplex, Dentsu, Square Enix, Mainichi Broadcasting System","Funimation, Aniplex of America","Bones","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","337.0",52,1151621,26564,52738,880215,41631,38693,138344
"48","ID9989","Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.","8.42","Slice of Life, Supernatural, Drama","anohana:The Flower We Saw That Day","TV","11","Apr 15, 2011 to Jun 24, 2011","Spring 2011","Aniplex, Dentsu, Fuji TV, Fujipacific Music","NIS America, Inc., Aniplex of America","A-1 Pictures","Original",22,"Less than 30min","PG-13 - Teens 13 or older","141.0",53,1157747,30271,35807,870583,18891,13348,219118
"49","ID30","Neon Genesis Evangelion","8.32","Action, Sci-Fi, Dementia, Psychological, Drama, Mecha","Neon Genesis Evangelion","TV","26","Oct 4, 1995 to Mar 27, 1996","Fall 1995","TV Tokyo, Kadokawa Shoten, Nihon Ad Systems, Audio Tanaka","ADV Films, Netflix","Gainax, Tatsunoko Production","Original",24,"Less than 30min","PG-13 - Teens 13 or older","208.0",54,1160651,71308,66549,815938,35566,20358,222240
"50","ID8074","Highschool of the Dead","7.15","Action, Horror, Supernatural, Ecchi, Shounen","High School of the Dead","TV","12","Jul 5, 2010 to Sep 20, 2010","Summer 2010","Geneon Universal Entertainment, AT-X, Showgate","Sentai Filmworks","Madhouse","Manga",24,"Less than 30min","R+ - Mild Nudity","2998.0",55,1108591,9653,33575,906093,16677,35059,117187
"51","ID37779","Yakusoku no Neverland","8.65","Sci-Fi, Mystery, Horror, Psychological, Thriller, Shounen","The Promised Neverland","TV","12","Jan 10, 2019 to Mar 29, 2019","Winter 2019","Aniplex, Dentsu, A-1 Pictures, Fuji TV, Shueisha, CA-Cygames Anime Fund","Aniplex of America","CloverWorks","Manga",22,"Less than 30min","R - 17+ (violence & profanity)","55.0",55,1133952,32542,78900,863136,17950,12852,161114
"52","ID6746","Durarara!!","8.18","Action, Mystery, Supernatural","Durarara!!","TV","24","Jan 8, 2010 to Jun 25, 2010","Winter 2010","Aniplex, Square Enix, Mainichi Broadcasting System, Movic, ASCII Media Works, Sakura Create","Aniplex of America","Brain's Base","Light novel",24,"Less than 30min","R - 17+ (violence & profanity)","329.0",57,1111256,29775,78950,651208,62664,44157,274277
"53","ID2167","Clannad","8.07","Comedy, Drama, Romance, School, Slice of Life, Supernatural","Clannad","TV","23","Oct 5, 2007 to Mar 28, 2008","Fall 2007","Pony Canyon, TBS, Movic, Animation Do","Sentai Filmworks","Kyoto Animation","Visual novel",24,"Less than 30min","PG-13 - Teens 13 or older","446.0",58,1095634,27283,49249,725568,36567,36403,247847
"54","ID10087","Fate/Zero","8.34","Action, Supernatural, Magic, Fantasy","Fate/Zero","TV","13","Oct 2, 2011 to Dec 25, 2011","Fall 2011","Aniplex, Nitroplus, Seikaisha, Notes","Aniplex of America","ufotable","Light novel",28,"Less than 30min","R - 17+ (violence & profanity)","192.0",59,1090273,30267,47817,773576,24194,16509,228177
"55","ID28121","Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka","7.64","Action, Adventure, Comedy, Romance, Fantasy","Is It Wrong to Try to Pick Up Girls in a Dungeon?","TV","13","Apr 4, 2015 to Jun 27, 2015","Spring 2015","Genco, Movic, Warner Bros. Japan, KlockWorx, SoftBank Creative, Showgate, MAGES., FuRyu","Sentai Filmworks","J.C.Staff","Light novel",24,"Less than 30min","PG-13 - Teens 13 or older","1172.0",60,1075095,10275,41249,870168,14498,22709,126471
"56","ID5081","Bakemonogatari","8.36","Romance, Supernatural, Mystery, Vampire","Bakemonogatari","TV","15","Jul 3, 2009 to Jun 25, 2010","Summer 2009","Aniplex, Kodansha","Aniplex of America","Shaft","Light novel",24,"Less than 30min","R - 17+ (violence & profanity)","174.0",61,1063666,41236,73863,664200,46545,34505,244553
"57","ID15809","Hataraku Maou-sama!","7.83","Comedy, Demons, Supernatural, Romance, Fantasy","The Devil is a Part-Timer!","TV","13","Apr 4, 2013 to Jun 27, 2013","Spring 2013","Sotsu, Lantis, Pony Canyon, Magic Capsule, Infinite","Funimation","White Fox","Light novel",24,"Less than 30min","PG-13 - Teens 13 or older","776.0",62,1061216,9596,39724,839612,20128,16062,145690
"58","ID28999","Charlotte","7.77","Drama, School, Super Power","Charlotte","TV","13","Jul 5, 2015 to Sep 27, 2015","Summer 2015","Aniplex, Mainichi Broadcasting System, Movic, Visual Art's, ASCII Media Works, Tokyo MX, BS11","Aniplex of America","P.A. Works","Original",24,"Less than 30min","PG-13 - Teens 13 or older","877.0",64,1057447,17800,41882,811977,16828,22611,164149
"59","ID30503","Noragami Aragoto","8.22","Action, Adventure, Comedy, Supernatural, Shounen","Noragami Aragoto","TV","13","Oct 3, 2015 to Dec 26, 2015","Fall 2015","Dentsu, Shochiku, Kodansha, Ai Addiction, Avex Pictures, A-Sketch","Funimation","Bones","Manga",24,"Less than 30min","PG-13 - Teens 13 or older","292.0",65,1039422,11026,41249,838883,16740,9772,132778
"60","ID29803","Overlord","7.96","Action, Adventure, Fantasy, Game, Magic, Supernatural","Overlord","TV","13","Jul 7, 2015 to Sep 29, 2015","Summer 2015","AT-X, Grooove, Hakuhodo DY Music & Pictures, Kadokawa","Funimation","Madhouse","Light novel",24,"Less than 30min","R - 17+ (violence & profanity)","585.0",66,1039944,18324,47550,794635,19931,26267,151561
"61","ID33352","Violet Evergarden","8.64","Slice of Life, Drama, Fantasy","Violet Evergarden","TV","13","Jan 11, 2018 to Apr 5, 2018","Winter 2018","Lantis, Pony Canyon, Rakuonsha, ABC Animation","Funimation","Kyoto Animation","Light novel",24,"Less than 30min","PG-13 - Teens 13 or older","57.0",67,1039300,34340,92325,615251,36485,33681,261558
"62","ID11617","High School DxD","7.4","Comedy, Demons, Ecchi, Harem, Romance, School","High School DxD","TV","12","Jan 6, 2012 to Mar 23, 2012","Winter 2012","Genco, Lantis, AT-X, PRA, Showgate, Atelier Musa, Fujimi Shobo","Funimation","TNK","Light novel",24,"Less than 30min","R+ - Mild Nudity","1900.0",68,995532,19056,34261,812823,14742,34031,99675
"63","ID32937","Kono Subarashii Sekai ni Shukufuku wo! 2","8.31","Adventure, Comedy, Parody, Supernatural, Magic, Fantasy","KonoSuba:God's Blessing on This Wonderful World! 2","TV","10","Jan 12, 2017 to Mar 16, 2017","Winter 2017","Kadokawa Shoten, Nippon Columbia, KlockWorx, Sony Music Communications, Toranoana, 81 Produce, Kadokawa Media House","Discotek Media","Studio Deen","Light novel",23,"Less than 30min","PG-13 - Teens 13 or older","225.0",69,990857,10851,42174,825156,11926,8664,102937
"64","ID35849","Darling in the FranXX","7.33","Action, Drama, Mecha, Romance, Sci-Fi","DARLING in the FRANXX","TV","24","Jan 13, 2018 to Jul 7, 2018","Winter 2018","Aniplex, Khara, Movic, Ultra Super Pictures, Lucent Pictures Entertainment, Tokyo MX, Nagoya Broadcasting Network, Asahi Broadcasting, BS11, Lawson, ABC Animation, Rialto Entertainment","Funimation","A-1 Pictures, Trigger, CloverWorks","Original",24,"Less than 30min","PG-13 - Teens 13 or older","2210.0",71,988865,23885,103972,660081,25987,53880,144945
"65","ID14813","Yahari Ore no Seishun Love Comedy wa Machigatteiru.","8.07","Slice of Life, Comedy, Drama, Romance, School","My Teen Romantic Comedy SNAFU","TV","13","Apr 5, 2013 to Jun 28, 2013","Spring 2013","Geneon Universal Entertainment, TBS, Delfi Sound, Marvelous AQL, Atelier Musa","Sentai Filmworks","Brain's Base","Light novel",24,"Less than 30min","PG-13 - Teens 13 or older","458.0",72,971934,29425,40893,726380,16527,13524,174610
"66","ID9756","Mahou Shoujo Madoka<U+2605>Magica","8.38","Psychological, Drama, Magic, Thriller","Puella Magi Madoka Magica","TV","12","Jan 7, 2011 to Apr 22, 2011","Winter 2011","Aniplex, Mainichi Broadcasting System, Movic, Nitroplus, Houbunsha","Aniplex of America","Shaft","Original",24,"Less than 30min","PG-13 - Teens 13 or older","168.0",74,971621,47610,38252,700785,24080,20994,187510
"67","ID14719","JoJo no Kimyou na Bouken (TV)","8.06","Action, Adventure, Supernatural, Vampire, Shounen","JoJo's Bizarre Adventure","TV","26","Oct 6, 2012 to Apr 6, 2013","Fall 2012","Yomiko Advertising, Warner Bros. Japan, Kamikaze Douga, KlockWorx, Shueisha","VIZ Media, Warner Bros. Pictures","David Production","Manga",24,"Less than 30min","R - 17+ (violence & profanity)","463.0",74,965386,26522,74784,714621,36732,26316,112933
